skuId,sku,countryCode,fnsku,skuAcquisitionCostExc,skuAcquisitionCostInc,skuAfnTotalQuantity,skuAverageSellingPriceInc,skuAverageNetMargin,skuAverageNetMarginPercentage,skuAverageReturnOnInvestmentRate,skuAverageDailyReturnOnInvestmentRate,isActive,numberOfActiveDays,numberOfUnitSold,skuAverageUnitSoldPerDay,skuRestockAlertQuantity,skuIsTest
,"Expodif-nov.19-4,22-187",FR,null,4.13,4.36,0,19.95,null,null,null,null,FALSE,null,0,null,1,FALSE
,"Expodif-nov.19-3,69-188",FR,null,3.63,3.83,0,18.90,7.25,0.39590,1.99720,0.08310,FALSE,null,3,0.07,1,FALSE
,"Expodif-nov.19-5,28-189",FR,null,5.13,5.42,0,22.95,2.12,0.15180,0.41330,0.00086,FALSE,null,1,0.00,1,FALSE
,"Expodif-nov.19-7,91-190-LANG",FR,null,7.63,8.05,0,29.95,2.83,0.01550,0.37050,0.00171,FALSE,null,3,0.01,1,FALSE
,"Expodif-nov.19-3,17-191",FR,null,3.13,3.31,0,21.95,0.47,0.04930,0.14860,0.00068,FALSE,null,2,0.00,1,FALSE
,"Expodif-nov.19-3,69-192",FR,null,3.63,3.83,0,20.29,4.25,0.28890,1.17080,0.01819,FALSE,null,2,0.02,1,FALSE
,"Expodif-nov.19-3,17-193",FR,null,3.13,3.31,0,16.95,7.22,0.42600,2.30670,0.22058,FALSE,null,1,0.17,1,FALSE
,"Expodif-nov.19-6,33-194-LANG",FR,null,6.13,6.47,0,24.95,null,null,null,null,FALSE,null,2,0.01,1,FALSE
,"Expodif-nov.19-4,75-195",FR,null,4.63,4.89,0,18.95,5.39,0.28440,1.16410,0.08026,FALSE,null,3,0.10,1,FALSE
,"Expodif-nov.19-4,43-196-LANG",FR,null,4.33,4.57,0,16.95,4.89,0.28850,1.12930,0.10602,FALSE,null,5,0.13,1,FALSE
,"Expodif-nov.19-4,75-197",FR,null,4.63,4.89,0,19.95,1.78,0.13250,0.38340,0.00169,FALSE,null,2,0.01,1,FALSE
,"Expodif-nov.19-4,22-198",FR,null,4.13,4.36,0,19.95,5.79,0.31140,1.40110,0.04477,FALSE,null,3,0.05,1,FALSE
,"Expodif-nov.19-3,69-199",FR,null,3.63,3.83,0,18.90,4.98,0.31960,1.37190,0.05212,FALSE,null,3,0.06,1,FALSE
