productCategoryRankId,countryCode,productCategoryId,rankingThreshold,rankingThresholdPercentage
877,ES,3,19295,0.01000
878,ES,3,9647,0.00500
879,ES,3,1929,0.00100
880,ES,3,965,0.00050
881,ES,3,193,0.00010
882,ES,3,0,0.00000
883,ES,4,1944813,1.00000
884,ES,4,972407,0.50000
885,ES,4,777925,0.40000
886,ES,4,583444,0.30000
887,ES,4,388963,0.20000
888,ES,4,291722,0.15000
889,ES,4,194481,0.10000
890,ES,4,97241,0.05000
891,ES,4,77793,0.04000
892,ES,4,58344,0.03000
893,ES,4,38896,0.02000
894,ES,4,29172,0.01500
895,ES,4,19448,0.01000
896,ES,4,9724,0.00500
897,ES,4,1945,0.00100
898,ES,4,972,0.00050
899,ES,4,194,0.00010
900,ES,4,0,0.00000
901,ES,5,2135621,1.00000
902,ES,5,1067811,0.50000
903,ES,5,854248,0.40000
904,ES,5,640686,0.30000
905,ES,5,427124,0.20000
906,ES,5,320343,0.15000
907,ES,5,213562,0.10000
908,ES,5,106781,0.05000
