sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable	afn-fulfillable-quantity-local	afn-fulfillable-quantity-remote
BOOK-04.23-6,42-2813217425	X001RDXKDV	2813217425	Développez vos facultés d'autoguérison	New	21.75	No		Yes	0	0	0	0	0	1152.01	0	0	0	0	0	0	0	0
BOOK-04.23-6,42-2858298556	X001RDQAKB	2858298556	Le pianiste nomade	New	19.02	No		Yes	0	0	0	0	0	1193.8	0	0	0	0	0	0	0	0
BOOK-04.23-6,57-2851809504	X001RF3BOR	2851809504	Aqua-Fitness - les Activites de la Forme en Milieu Aquatique	New	17.07	No		Yes	0	0	0	0	0	787.56	0	0	0	0	0	0	0	0
BOOK-04.23-6,62-2841389715	X001RE5R09	2841389715	A modern way to cook: La cuisine végétale en 150 recettes rapides, inventives et pleines de saveurs	New	24.44	No		Yes	0	0	0	0	0	1249.51	0	0	0	0	0	0	0	0
BOOK-04.23-6,62-285180930X	X001RE2USV	285180930X	Le swing, arrêts sur images: Les repères techniques du haut niveau au service de tous les golfeurs	New	24.50	No		Yes	0	0	0	0	0	647.29	0	0	0	0	0	0	0	0
BOOK-04.23-6,62-2889357198	X001RE2VHL	2889357198	New York un siècle de photographies aériennes	New	29.45	No		Yes	0	0	0	0	0	2049.86	0	0	0	0	0	0	0	0
BOOK-04.23-6,93-2732471291	X001RDXJVT	2732471291	Les Pieds sur Terre: Mon encyclopédie de la nature, mois par mois	New	20.10	No		Yes	2	2	0	0	2	1759.97	0	0	0	0	0	0	2	0
BOOK-04.23-6-2810420440	X001RDQEGL	2810420440	Cuisine nikkei: La fusion food du Japon et de l'Amérique du Sud	New	21.85	No		Yes	0	0	0	0	0	1154.63	0	0	0	0	0	0	0	0
BOOK-04.23-7,04-2324022125	X001RDQEED	2324022125	Les plus beaux endroits pour marcher	New	24.44	No		Yes	2	2	0	0	2	2636.35	0	0	0	0	0	0	2	0
BOOK-04.23-7,04-B07DXQHPNP	X001RE2VO9	B07DXQHPNP	Surf trip : voyages et vagues autour du monde	New	23.91	No		Yes	0	0	0	0	0	1354.72	0	0	0	0	0	0	0	0
BOOK-04.23-7,63-2324022095	X001RE2U7R	2324022095	Woodstock	New	32.80	No		Yes	0	0	0	0	0	2511.65	0	0	0	0	0	0	0	0
BOOK-04.23-7,82-2263157077	X001RE2UX1	2263157077	Voiliers, les légendes du siècle	New	32.01	No		Yes	0	0	0	0	0	1520.72	0	0	0	0	0	0	0	0
BOOK-04.23-8,42-2732488135	X001RDXL7B	2732488135	L'Epreuve du temps	New	27.42	No		Yes	0	0	0	0	0	1699.34	0	0	0	0	0	0	0	0
BOOK-04.23-8,49-2324026201	X001RF76KR	2324026201	Alain Delon	New	22.23	No		Yes	1	1	0	0	1	1683.61	0	0	0	0	0	0	1	0
BOOK-04.23-9,54-2324027380	X001RE2BR1	2324027380	Elle, 75 ans de photographies de mode	New	24.07	No		Yes	0	0	0	0	0	1939.57	0	0	0	0	0	0	0	0
CHAD-03.23-147,2-B07NW5VC23	X001QM4R7B	B07NW5VC23	Andis Machine AGC2 / 2 vitesses bordeaux GATB	New	278.00	No		Yes	0	0	0	0	0	5199.78	0	0	0	0	0	0	0	0
CHAD-03.23-19,52-B00063MRLG	X001QM5VRB	B00063MRLG	Andis - Lame n°10 pour tondeuse Ultraedge	New	44.14	No		Yes	0	0	0	0	0	118.64	0	0	0	0	0	0	0	0
